"OriginAirport","FlightDurationMins","DestinationAirport","Flight_Number","AirlineName","FlightDistance","TailNumber","ScheduledDepartureTime","ScheduledArrivalTime"
"Albuquerque International Sunport","283","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N976DL","1998-09-30T00:35Z","1998-09-30T05:18Z"
"Albuquerque International Sunport","284","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N619DL","1997-01-01T00:54Z","1997-01-01T05:38Z"
"Albuquerque International Sunport","333","Hartsfield-Jackson Atlanta International","1833","Delta Air Lines Inc.","1269","N921DL","2009-09-16T13:15Z","2009-09-16T18:48Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","1577","Delta Air Lines Inc.","1269","N6701","2016-05-03T06:19Z","2016-05-03T11:13Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N925DL","1997-09-08T07:28Z","1997-09-08T12:13Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","1976","Delta Air Lines Inc.","1269","N377DA","2009-05-09T13:11Z","2009-05-09T17:56Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N540US","2013-05-16T06:29Z","2013-05-16T11:17Z"
"Albuquerque International Sunport","299","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N982DL","1998-05-26T07:20Z","1998-05-26T12:19Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N388DA","2010-05-30T08:24Z","2010-05-30T13:22Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N231DN","2000-05-25T07:32Z","2000-05-25T12:29Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","2085","Delta Air Lines Inc.","1269","N698DL","2011-05-11T06:36Z","2011-05-11T11:33Z"
"Albuquerque International Sunport","306","Hartsfield-Jackson Atlanta International","487","Delta Air Lines Inc.","1269","N392D1","2001-01-26T11:24Z","2001-01-26T16:30Z"
"Albuquerque International Sunport","282","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N683DA","2016-05-03T13:26Z","2016-05-03T18:08Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N514DA","1995-05-23T07:35Z","1995-05-23T12:23Z"
"Albuquerque International Sunport","281","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N535D1","2001-09-07T06:50Z","2001-09-07T11:31Z"
"Albuquerque International Sunport","306","Hartsfield-Jackson Atlanta International","2269","Delta Air Lines Inc.","1269","N619DL","2010-05-31T06:05Z","2010-05-31T11:11Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N952DL","1999-05-24T07:30Z","1999-05-24T12:22Z"
"Albuquerque International Sunport","360","Hartsfield-Jackson Atlanta International","1962","Delta Air Lines Inc.","1269","N906DE","2009-09-29T06:15Z","2009-09-29T12:15Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N2815W","1997-05-09T07:30Z","1997-05-09T12:21Z"
"Albuquerque International Sunport","287","Hartsfield-Jackson Atlanta International","934","Delta Air Lines Inc.","1269","N384DA","2004-05-15T06:47Z","2004-05-15T11:34Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N382DA","2003-01-14T06:48Z","2003-01-14T11:41Z"
"Albuquerque International Sunport","312","Hartsfield-Jackson Atlanta International","1976","Delta Air Lines Inc.","1269","N377DA","2009-05-16T13:12Z","2009-05-16T18:24Z"
"Albuquerque International Sunport","279","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N919DL","1998-01-12T11:49Z","1998-01-12T16:28Z"
"Albuquerque International Sunport","296","Hartsfield-Jackson Atlanta International","2327","Delta Air Lines Inc.","1269","N682DA","2010-05-11T13:01Z","2010-05-11T17:57Z"
"Albuquerque International Sunport","282","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N652DL","1997-09-13T00:47Z","1997-09-13T05:29Z"
"Albuquerque International Sunport","283","Hartsfield-Jackson Atlanta International","1157","Delta Air Lines Inc.","1269","N659DL","2004-09-18T07:58Z","2004-09-18T12:41Z"
"Albuquerque International Sunport","331","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N3741S","2003-05-22T11:19Z","2003-05-22T16:50Z"
"Albuquerque International Sunport","273","Hartsfield-Jackson Atlanta International","2292","Delta Air Lines Inc.","1269","N242DL","2000-01-20T00:30Z","2000-01-20T05:03Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","1424","Delta Air Lines Inc.","1269","N918DH","2011-09-19T08:45Z","2011-09-19T13:42Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N8889Z","1997-09-18T11:48Z","1997-09-18T16:39Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","934","Delta Air Lines Inc.","1269","N3752","2003-05-27T07:00Z","2003-05-27T11:53Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","1398","Delta Air Lines Inc.","1269","N965DN","2013-09-16T07:54Z","2013-09-16T12:46Z"
"Albuquerque International Sunport","302","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N950DL","1996-09-24T07:32Z","1996-09-24T12:34Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N906DA","2012-01-01T08:50Z","2012-01-01T13:43Z"
"Albuquerque International Sunport","290","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N531US","2014-09-11T13:05Z","2014-09-11T17:55Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","1147","Delta Air Lines Inc.","1269","N503US","2011-05-25T07:59Z","2011-05-25T12:47Z"
"Albuquerque International Sunport","279","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N3744","2002-05-02T07:13Z","2002-05-02T11:52Z"
"Albuquerque International Sunport","289","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N941DN","2015-09-08T13:03Z","2015-09-08T17:52Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","1522","Delta Air Lines Inc.","1269","N918DE","1998-01-06T00:37Z","1998-01-06T05:29Z"
"Albuquerque International Sunport","284","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N3771K","2003-01-21T11:50Z","2003-01-21T16:34Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N908DA","2012-01-12T13:46Z","2012-01-12T18:39Z"
"Albuquerque International Sunport","289","Hartsfield-Jackson Atlanta International","1157","Delta Air Lines Inc.","1269","N611DL","2004-09-04T07:56Z","2004-09-04T12:45Z"
"Albuquerque International Sunport","295","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N3749D","2003-09-22T11:19Z","2003-09-22T16:14Z"
"Albuquerque International Sunport","313","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N8890","2001-05-28T11:30Z","2001-05-28T16:43Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N911DE","1998-09-04T00:41Z","1998-09-04T05:35Z"
"Albuquerque International Sunport","279","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N935DL","1999-01-20T00:44Z","1999-01-20T05:23Z"
"Albuquerque International Sunport","300","Hartsfield-Jackson Atlanta International","2352","Delta Air Lines Inc.","1269","N550NW","2014-05-26T13:19Z","2014-05-26T18:19Z"
"Albuquerque International Sunport","307","Hartsfield-Jackson Atlanta International","1962","Delta Air Lines Inc.","1269","N928DL","2009-05-25T06:24Z","2009-05-25T11:31Z"
