"OriginAirport","Airline","FlightNumber","FlightDistance","ScheduledDepartTime","ScheduledArrivalTime","DestinationAirport"
"Albuquerque International Sunport","Southwest Airlines Co.","591","1670","2013-09-24T13:48Z","2013-09-24T19:23Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1692","1670","2013-05-07T07:10Z","2013-05-07T12:51Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2356","1670","2009-05-17T16:07Z","2009-05-17T21:49Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2003-09-14T15:40Z","2003-09-14T21:11Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2002-09-13T15:25Z","2002-09-13T20:45Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2581","1670","2011-01-27T11:59Z","2011-01-27T17:36Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2060","1670","2015-09-01T07:22Z","2015-09-01T13:03Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","310","1670","2009-09-19T09:58Z","2009-09-19T15:31Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2001-01-18T15:15Z","2001-01-18T20:46Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","987","1670","2010-09-17T09:56Z","2010-09-17T15:33Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","364","1670","2016-05-05T07:02Z","2016-05-05T12:47Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","198","1670","2016-05-28T10:53Z","2016-05-28T16:29Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2964","1670","2015-09-29T14:24Z","2015-09-29T20:15Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2001-09-22T14:50Z","2001-09-22T21:18Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1319","1670","2009-05-22T09:04Z","2009-05-22T14:44Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2489","1670","2011-09-20T15:27Z","2011-09-20T21:14Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2002-05-09T15:42Z","2002-05-09T21:06Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1158","1670","2013-09-22T06:35Z","2013-09-22T12:07Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3969","1670","2009-09-13T15:00Z","2009-09-13T20:37Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","4297","1670","2014-05-31T14:10Z","2014-05-31T19:46Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1151","1670","2013-09-07T13:46Z","2013-09-07T19:31Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2002-09-06T15:25Z","2002-09-06T21:06Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","729","1670","2012-09-22T07:30Z","2012-09-22T12:58Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3567","1670","2011-01-04T08:31Z","2011-01-04T13:43Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1883","1670","2012-05-09T11:00Z","2012-05-09T16:36Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1883","1670","2012-05-17T10:40Z","2012-05-17T16:21Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","624","1670","2013-01-24T07:08Z","2013-01-24T12:35Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3684","1670","2012-09-30T10:21Z","2012-09-30T15:53Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1247","1670","2014-09-01T07:06Z","2014-09-01T12:42Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","721","1670","2004-09-03T15:35Z","2004-09-03T21:01Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","455","1121","2015-01-04T17:14Z","2015-01-04T20:51Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","586","1121","2009-01-07T17:31Z","2009-01-07T21:25Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","980","1121","2009-01-26T15:49Z","2009-01-26T19:14Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1598","1121","2013-05-17T15:37Z","2013-05-17T19:05Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","998","1121","2014-05-30T17:15Z","2014-05-30T20:46Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2717","1121","2009-09-19T14:12Z","2009-09-19T17:40Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","913","1121","2010-09-24T07:30Z","2010-09-24T11:00Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1693","1121","2010-01-18T07:16Z","2010-01-18T10:48Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1598","1121","2013-05-06T15:23Z","2013-05-06T18:58Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1479","1121","2011-05-19T06:09Z","2011-05-19T09:39Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2312","1121","2001-09-25T10:05Z","2001-09-25T13:45Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1740","1121","2011-09-06T05:57Z","2011-09-06T09:29Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","552","1121","2013-01-14T09:50Z","2013-01-14T13:07Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2991","1121","2016-05-13T16:57Z","2016-05-13T20:30Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2671","1121","2015-05-17T06:01Z","2015-05-17T09:30Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1786","1121","2010-01-03T16:33Z","2010-01-03T20:15Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1663","1121","2000-09-02T17:00Z","2000-09-02T20:25Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2312","1121","2002-05-23T09:40Z","2002-05-23T13:13Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2109","1121","2012-01-25T07:33Z","2012-01-25T11:05Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2269","1121","2015-09-09T17:00Z","2015-09-09T20:30Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1031","1121","2003-05-07T10:30Z","2003-05-07T13:52Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2109","1121","2012-01-16T07:31Z","2012-01-16T10:50Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1013","1121","2009-05-21T11:40Z","2009-05-21T15:19Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","2493","1121","2014-09-23T09:09Z","2014-09-23T12:51Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","551","1121","2010-05-14T15:32Z","2010-05-14T19:04Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1286","1121","2011-09-10T14:44Z","2011-09-10T18:25Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1740","1121","2011-09-13T06:02Z","2011-09-13T09:39Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","786","1121","2014-01-12T16:18Z","2014-01-12T19:50Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1043","1121","2013-01-02T09:24Z","2013-01-02T12:45Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","474","1121","2012-05-04T05:56Z","2012-05-04T09:33Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","225","1121","2013-09-18T17:24Z","2013-09-18T21:40Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","650","1121","2011-01-07T06:41Z","2011-01-07T10:19Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","225","1121","2013-09-03T17:47Z","2013-09-03T21:31Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1740","1121","2011-09-26T06:03Z","2011-09-26T09:48Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1648","1121","2016-01-07T06:46Z","2016-01-07T10:17Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","263","1121","2011-05-26T13:07Z","2011-05-26T16:38Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","3945","1121","2009-01-31T06:59Z","2009-01-31T10:36Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","474","1121","2012-05-14T05:59Z","2012-05-14T09:33Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","256","1121","2010-01-08T06:51Z","2010-01-08T10:42Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","136","1121","2009-09-04T07:08Z","2009-09-04T10:43Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","755","1121","2014-01-31T08:51Z","2014-01-31T12:12Z","Chicago Midway International"
"Albuquerque International Sunport","Southwest Airlines Co.","1612","1121","2003-01-24T07:55Z","2003-01-24T11:22Z","Chicago Midway International"
