"OriginAirport","Airline","FlightNumber","FlightDistance","ScheduledDepartTime","ScheduledArrivalTime","DestinationAirport"
"Albuquerque International Sunport","Delta Air Lines Inc.","1577","1269","2016-05-03T06:19Z","2016-05-03T11:13Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1997-09-08T07:28Z","1997-09-08T12:13Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1976","1269","2009-05-09T13:11Z","2009-05-09T17:56Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2013-05-16T06:29Z","2013-05-16T11:17Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1998-05-26T07:20Z","1998-05-26T12:19Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2010-05-30T08:24Z","2010-05-30T13:22Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2000-05-25T07:32Z","2000-05-25T12:29Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2085","1269","2011-05-11T06:36Z","2011-05-11T11:33Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","487","1269","2001-01-26T11:24Z","2001-01-26T16:30Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1784","1269","2016-05-03T13:26Z","2016-05-03T18:08Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1100","1269","1995-05-23T07:35Z","1995-05-23T12:23Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2001-09-07T06:50Z","2001-09-07T11:31Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2269","1269","2010-05-31T06:05Z","2010-05-31T11:11Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1999-05-24T07:30Z","1999-05-24T12:22Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1962","1269","2009-09-29T06:15Z","2009-09-29T12:15Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1997-05-09T07:30Z","1997-05-09T12:21Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","934","1269","2004-05-15T06:47Z","2004-05-15T11:34Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2003-01-14T06:48Z","2003-01-14T11:41Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1976","1269","2009-05-16T13:12Z","2009-05-16T18:24Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","1998-01-12T11:49Z","1998-01-12T16:28Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2327","1269","2010-05-11T13:01Z","2010-05-11T17:57Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1997-09-13T00:47Z","1997-09-13T05:29Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1157","1269","2004-09-18T07:58Z","2004-09-18T12:41Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2003-05-22T11:19Z","2003-05-22T16:50Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2292","1269","2000-01-20T00:30Z","2000-01-20T05:03Z","Hartsfield-Jackson Atlanta International"
