"Airport","Page_Rank_Score"
"ABQ","1.4876649002529432"
"ABY","0.27614382970878415"
"ALB","0.666783395005459"
"ABI","0.31438186998951345"
"CAK","0.42305344965979874"
"ATL","18.250488197308307"
"BHM","0.9248293055837756"
"BIL","0.4360329338167408"
"BGM","0.27808573186659946"
"RDM","0.31269400036161293"
"BET","0.410747785694833"
"BTR","0.523635963619805"
"BPT","0.27222232871347174"
"BLI","0.264525639812234"
"BJI","0.2585449356062357"
"BRW","0.44485535349918104"
"BGR","0.3059914891010883"
"BWI","3.4859846236281333"
"AUS","1.7785087571007874"
"MDW","2.8427188697361347"
"ORD","15.362295636725973"
"AMA","0.46637680496971495"
"ACV","0.379624455878998"
"AGS","0.3520113466686473"
"ACY","0.2731171401810744"
"ANC","3.9807987798313973"
"ATW","0.32032441892633046"
"ANI","0.3833853623946103"
"AVL","0.3679350524043727"
"APN","0.26567557649723694"
"ABE","0.42914251131007874"
"BFL","0.3248550026593437"
"ASE","0.3185803531022111"
"HTS","0.25789231963137477"
"CLT","5.278621741255663"
"CRW","0.3565286150291398"
"CPR","0.3077020426529921"
"CDC","0.27088349860314526"
"CHS","0.6319424034361215"
"CID","0.4831350223329808"
"CMI","0.30421203371107586"
"CLD","0.2847778214829978"
"BTM","0.27630551492707806"
"BTV","0.39950645100369236"
"BUR","1.1403200533952171"
"BQN","0.27338435347428697"
"ADK","0.25944516900918774"
"ABR","0.25868501651781334"
"AEX","0.33281456691515565"
"TRI","0.33461922355752244"
"BRO","0.3029493904383854"
"BUF","0.953927476538111"
"BQK","0.27516190183239797"
"BZN","0.398689489385415"
"BRD","0.3142863295921086"
"BKG","0.2646550744179076"
"BOS","4.178638042110659"
"BIS","0.35542545375683743"
"BOI","0.7777029683181159"
"DFW","14.044851844825176"
"TYS","0.6059799826283792"
"EYW","0.30496303803433833"
"ILE","0.28291477525803543"
"MCI","2.1139189425286657"
"LMT","0.26266733867121195"
"GRK","0.3113719617653043"
"AKN","0.37981176091895247"
"KTN","0.7215452950925055"
"ADQ","0.3543936769167592"
"LRD","0.3080701408057259"
"LAN","0.3622539681829385"
"LAR","0.2559467574338043"
"LCH","0.28410474799997537"
"LNY","0.3119997352494236"
"LFT","0.3873790955962975"
"LSE","0.3107036007946497"
"KOA","0.6187023593151022"
"OTZ","0.47931863585868034"
"LAS","5.375667352573336"
"LIH","0.6161140476836774"
"LEX","0.48078125575327985"
"LWS","0.26646111977031867"
"LWB","0.25442650557444463"
"LBE","0.2562190047533519"
"LIT","0.7850929539096584"
"LNK","0.34937420112411044"
"GGG","0.2714924726490465"
"LGB","0.5552565681897689"
"LAX","9.278668044264235"
"FCA","0.363017400020725"
"IAH","7.640333088002054"
"HOU","2.2565546659018647"
"OGG","1.141277859011145"
"AZO","0.33872374715161585"
"JNU","1.3725153646612263"
"JAX","1.1094639386349305"
"JMS","0.5279021057234153"
"JLN","0.25697053166996103"
"OAJ","0.27781458133122894"
"HSV","0.5303821294571277"
"ISP","0.4708302070647987"
"JAN","0.5932955137054953"
"JAC","0.3646968205421042"
"IND","1.538357878627484"
"ITH","0.3058875602958675"
"IYK","0.2606704679550107"
"IMT","0.3394392421105976"
"INL","0.34016706380842177"
"IDA","0.34838988438238483"
"HYA","0.2502127168394069"
"EFD","0.25571308470907844"
"SDF","0.9487150237486465"
"MHT","0.615452616248942"
"MSN","0.5524884109137649"
"MMH","0.2526510742320383"
"LBB","0.5019196747866312"
"LYH","0.259082832856573"
"MCN","0.25797816399563833"
"MFR","0.35668228039816147"
"MQT","0.272568216815236"
"MVY","0.25153138322237895"
"MAZ","0.25037213800194325"
"RSW","1.025161546544903"
"MLB","0.33034381680437375"
"HNL","2.8709789238095014"
"MKK","0.32859325415376195"
"BDL","1.2014268733138982"
"MEM","2.110955798475878"
"HLN","0.33255616704462965"
"HDN","0.2885078770785755"
"GSP","0.5675311118330708"
"GSO","0.7414221841137588"
"MSP","8.228257754337369"
"ITO","0.4827356302640486"
"HOB","0.2564972335907166"
"PIB","0.28838891264752503"
"HIB","0.3206449220955307"
"LGA","3.965771157952421"
"JFK","3.663140109901069"
"MSY","1.8844152036750872"
"EWR","4.666560826286418"
"ORF","0.8275270363548384"
"OME","0.4867169313275274"
"PHF","0.3281386723295557"
"IAG","0.2517238854543899"
"SWF","0.32916101493313105"
"OAK","2.2436046683015336"
"OTH","0.2624535232983404"
"OMA","0.988551641101281"
"ONT","1.314561189400095"
"MCO","4.5156906310367235"
"BNA","2.1558134945943594"
"HVN","0.25391006879484146"
"EWN","0.26546536405308363"
"MRY","0.37591883058068293"
"MYR","0.533577169788539"
"CWA","0.29114040956291515"
"MKG","0.25907887725566775"
"ACK","0.25602991240092104"
"APF","0.251085221985993"
"MTJ","0.29401705526367905"
"MOB","0.4601262705216636"
"MGM","0.36766469936153934"
"MWH","0.25159561347603143"
"MLU","0.36655706966860074"
"MLI","0.3832324625527674"
"MFE","0.39102813187577556"
"MOD","0.2719932161141624"
"PNS","0.5374308409440826"
"PSG","0.536867959210611"
"PSP","0.5642693071491277"
"PIA","0.3449667379676521"
"PSC","0.3683519275973164"
"PLN","0.26224537520553076"
"PHL","3.8085647552810538"
"ECP","0.31305450281909686"
"PFN","0.28253954582798557"
"OXR","0.26146087298871523"
"PAH","0.2607601508215322"
"PPG","0.2517484007686489"
"MOT","0.31497069665789934"
"CNY","0.25161383527160003"
"MSO","0.4062428379261887"
"MIB","0.25084048546946586"
"MAF","0.5125503495160627"
"MKE","1.2463658439277798"
"MIA","3.1825520622726735"
"PHX","7.1614562724310025"
"PIT","3.4827877986571734"
"PDX","2.6064116763831953"
"PWM","0.5062562599598378"
"PSE","0.2631853443153381"
"AZA","0.2504955631194838"
"PIH","0.2880865124097569"
"PBG","0.2517238854543899"
"SMF","1.8135179001289006"
"ROA","0.3732939790915727"
"RIC","0.8337509481804767"
"RDU","1.6527372641085676"
