"Airport","Page_Rank_Score"
"SLC","2.02032192638774"
"SFO","1.9743590863556149"
"MBS","-1.0063926398479381"
"ROC","-0.3420115323778569"
"RKS","-1.123914043985832"
"ROW","-1.313587089096123"
"RST","-1.052053813502019"
"RAP","-0.9602466560676768"
"RDD","-1.2679110428670672"
"FSD","-0.804263145692668"
"SEA","1.7555615591827547"
"GEG","-0.22608552908254773"
"SBN","-0.9573926706962237"
"SIT","-0.6345148036613149"
"SGU","-1.148614318147475"
"SGF","-0.840803530258731"
"SPI","-1.2690394254115596"
"UST","-1.3344358095358175"
"STC","-1.3809287066142562"
"STL","1.4274521907750792"
"SUX","-1.3178782033754988"
"SHV","-0.710752389640481"
"TLH","-0.9169015965351247"
"SYR","-0.485380479559827"
"SUN","-1.1903828835136343"
"SCE","-1.3274293423227204"
"KSM","-0.8140086165401689"
"PIE","-1.3527591740899796"
"TPA","0.93677539749481"
"TUS","-0.047108178209910014"
"TTN","-0.8347972920422704"
"TVC","-1.0334852997920727"
"TOL","-1.1353385378237588"
"TXK","-1.2536592576788332"
"TEX","-1.3808833082389649"
"ACT","-1.2188926192234257"
"VIS","-1.3583962860901522"
"VEL","-1.3785778011935317"
"VCT","-1.3698511470217973"
"VPS","-0.9140485631591868"
"VLD","-1.2881677629472996"
"DUT","-1.2012728468764498"
"TYR","-1.170191036743655"
"TWF","-1.2294825362201958"
"DCA","1.10881534835339"
"IAD","0.9924584655518404"
"PBI","0.0687757577044609"
"ALO","-1.3550688793321013"
"ART","-1.3733763106730243"
"ILM","-1.043425615914181"
"ILG","-1.3775960372940457"
"ORH","-1.3610065140724736"
"ISN","-1.299189710330757"
"SPS","-1.263151496912499"
"HPN","-0.6077033185540981"
"WRG","-0.60537166385046"
"YUM","-1.1388963489064359"
"YAK","-0.6440748032626928"
"WYS","-1.354527604581113"
"AVP","-1.1359508992353258"
"SBA","-0.7102460461481083"
"SAV","-0.5967293848343665"
"SRQ","-0.8077378861876252"
"CIU","-1.3697807837321716"
"SAF","-1.2999232808749983"
"SMX","-1.2928974748626236"
"SNA","0.5794421845446558"
"SJC","0.7301970906840771"
"SBP","-1.0500399313730187"
"SJU","0.2544589405502149"
"DAL","0.6356918805297692"
"PVD","-0.093869424201443"
"MEI","-0.8225842138548016"
"BMI","-1.1303036424116129"
"MDT","-0.6649000584217348"
"HRL","-0.9032184653917401"
"GUC","-1.3250210841514873"
"GPT","-0.98759959641542"
"CMX","-1.343295720717509"
"GST","-1.3690104861883021"
"GUM","-0.792199483573567"
"GRR","-0.3977330467168817"
"GRB","-0.8214504755613474"
"GTF","-0.8816500001201912"
"GJT","-1.0472776125843761"
"GFK","-1.1801296836179884"
"GNV","-1.1329653043412375"
"GCC","-1.156305763205862"
"FAT","-0.3708266317529885"
"FWA","-0.9317157483176012"
"FSM","-1.1851560535794166"
"GRI","-1.358793863423992"
"FLL","0.9643729294404636"
"FAR","-0.8794070618186266"
"FAI","0.04447738925428276"
"EVV","-1.0599000420066116"
"XNA","-0.6488253421446504"
"FAY","-1.1109976595978883"
"FLG","-1.281643438204306"
"DLH","-1.1089880656975297"
"EUG","-0.9252526395259422"
"ELM","-1.04770382758658"
"ERI","-1.2671895317074986"
"ESC","-1.371996476529383"
"EKO","-1.2349524390566198"
"ELP","0.019147384595449176"
"DTW","1.9495278174192794"
"DRO","-1.1923933606892867"
"EAU","-1.332327197052853"
"IPL","-1.3354161417132646"
"EGE","-1.1799712342029391"
"DBQ","-1.3078549592267874"
"DHN","-1.2600810764651724"
"DVL","-0.7886516046090948"
"DIK","-1.3515021055517855"
"DLG","-1.0638229994156059"
"STX","-1.243985458925637"
"CIC","-1.301153397745621"
"CVG","1.1416992210439028"
"CLE","0.8170144588218815"
"CHA","-0.9749074017516421"
"CYS","-1.3798096031277474"
"CHO","-1.234373643374181"
"STT","-0.9275989075570331"
"COS","-0.33249377639253663"
"CLL","-1.1901674995225968"
"COD","-1.28312012101391"
"FNT","-0.9990573817910787"
"FLO","-1.356308694495025"
"CMH","0.3467402339733713"
"CSG","-1.2308071135019947"
"GTR","-1.2795399622418262"
"DAY","-0.3555375012178563"
"CDV","-0.6934208857551372"
"DEN","2.2774559092707034"
"DSM","-0.4573020031170456"
"CRP","-0.8020754768904579"
"CEC","-1.2442956215208367"
"PUB","-1.3788884062375375"
"DAB","-1.0576038360358773"
"SCC","-0.9695790057891307"
"DRT","-1.383162674447039"
"COU","-1.3446943372865656"
"CAE","-0.692434770111399"
"UTM","-1.3843324312108531"
"SPN","-1.362739999480818"
"SHD","-1.3855160502736024"
"RFD","-1.3853037257222371"
