"Airport","Page_Rank_Score"
"SAN","0.1116219885622565"
"SAT","0.0348800941833048"
"SJT","-0.0394226505444159"
"SLC","0.36341099871428695"
"SFO","0.3445918724346929"
"MBS","-0.03520566113651766"
"ROC","-0.01605015177463847"
"RKS","-0.037457291311289026"
"ROW","-0.0405767568565334"
"RST","-0.03611205977050385"
"RAP","-0.0342466082483327"
"RDD","-0.03987871498914326"
"FSD","-0.030656720577761327"
"SEA","0.2659650485383887"
"GEG","-0.011199682890854021"
"SBN","-0.03418582803589694"
"SIT","-0.026058174079927787"
"SGU","-0.03789780556207768"
"SGF","-0.03154857916307736"
"SPI","-0.039896346316141605"
"UST","-0.04088493143993806"
"STC","-0.041549457815482464"
"STL","0.1760426156875971"
"SUX","-0.04064071198835575"
"SHV","-0.028220263536216133"
"TLH","-0.033304552834501816"
"SYR","-0.021321012018973764"
"SUN","-0.038618406381487794"
"SCE","-0.04078208157603341"
"KSM","-0.03089777866684462"
"PIE","-0.04115052328355716"
"TPA","0.0862481676234931"
"TUS","-0.0025145847929171857"
"TTN","-0.03140421096936432"
"TVC","-0.03574845068203566"
"TOL","-0.03766239301943146"
"TXK","-0.03965430544575045"
"TEX","-0.04154882388612558"
"ACT","-0.03909326112840175"
"VIS","-0.04123125751645745"
"VEL","-0.0415165926029354"
"VCT","-0.04139391768019028"
"VPS","-0.03324110137202072"
"VLD","-0.04019222506575398"
"DUT","-0.038801388029179415"
"TYR","-0.03827380920217488"
"TWF","-0.03926622567317037"
"DCA","0.11286029330945449"
"IAD","0.09436576459068297"
"PBI","0.003997074740748265"
"ALO","-0.04118365772685524"
"ART","-0.04144360157652704"
"ILM","-0.03594394175105974"
"ILG","-0.04150284484287166"
"ORH","-0.04126848709859833"
"ISN","-0.040360160912197"
"SPS","-0.03980412627855048"
"HPN","-0.02525776860033444"
"WRG","-0.02518714190899779"
"YUM","-0.03772578870376136"
"YAK","-0.02633841899098222"
"WYS","-0.0411758996016164"
"AVP","-0.03767332059956935"
"SBA","-0.028206440617312496"
"SAV","-0.024923922977784164"
"SRQ","-0.03074293926977606"
"CIU","-0.04139292419125876"
"SAF","-0.04037127239687223"
"SMX","-0.04026451607884746"
"SNA","0.04365456433774743"
"SJC","0.05979025665857183"
"SBP","-0.03607294951285511"
"SJU","0.016139522194197314"
"DAL","0.04939256844971568"
"PVD","-0.004935798685899335"
"MEI","-0.03110796501523868"
"BMI","-0.037572291238268295"
"MDT","-0.02693970114181035"
"HRL","-0.032998585375191083"
"GUC","-0.04074656334988679"
"GPT","-0.03482041879991364"
"CMX","-0.041013960991341844"
"GST","-0.04138204346289023"
"GUM","-0.030355048749265326"
"GRR","-0.01818893127167604"
"GRB","-0.03108028058087384"
"GTF","-0.03250771275220713"
"GJT","-0.03601917609640613"
"GFK","-0.038444293270388945"
"GNV","-0.037619979426845515"
"GCC","-0.03803277094426429"
"FAT","-0.017171046223680753"
"FWA","-0.03363112488846876"
"FSM","-0.03852987085982694"
"GRI","-0.04123693442226316"
"FLL","0.09021490595598339"
"FAR","-0.03245605575603202"
"FAI","0.002568507068978995"
"EVV","-0.03626368711379738"
"XNA","-0.026476684545104205"
"FAY","-0.037222566238592096"
"FLG","-0.04009194159869683"
"DLH","-0.037185773254369135"
"EUG","-0.033489242963282324"
"ELM","-0.03602748281902202"
"ERI","-0.039867430721474806"
"ESC","-0.041424174958184595"
"EKO","-0.03935485048180067"
"ELP","0.0011157826506545284"
"DTW","0.33477910065016164"
"DRO","-0.03865233813827479"
"EAU","-0.0408540543020663"
"IPL","-0.040899264624813934"
"EGE","-0.03844158855451127"
"DBQ","-0.04049089542592817"
"DHN","-0.03975581979314267"
"DVL","-0.030265633419287244"
"DIK","-0.04113245751165962"
"DLG","-0.03633905280474017"
"STX","-0.03950014871369006"
"CIC","-0.040389886846086326"
"CVG","0.11848909525138224"
"CLE","0.07024795548527699"
"CHA","-0.03455611276962785"
"CYS","-0.04153382259618561"
"CHO","-0.03934549559890128"
"STT","-0.03354085565795494"
"COS","-0.015672762415062085"
"CLL","-0.03861476719856532"
"COD","-0.040114696572536516"
"FNT","-0.03505615506010948"
"FLO","-0.04120141225866763"
"CMH","0.023066390259184926"
"CSG","-0.03928773132631221"
"GTR","-0.040059469965160216"
"DAY","-0.016580329231540885"
"CDV","-0.027743119231550765"
"DEN","0.4862471705008011"
"DSM","-0.02034735204338188"
"CRP","-0.030602284093025827"
"CEC","-0.03950511448213865"
"PUB","-0.041520939233598154"
"DAB","-0.03621943630377674"
"SCC","-0.034444148988051655"
"DRT","-0.0415806167501791"
"COU","-0.04103422519268869"
"CAE","-0.027715721566838214"
"UTM","-0.041596904536971624"
"SPN","-0.04129315809084001"
"SHD","-0.04161336596218554"
"RFD","-0.041610414448788276"
