"Airport","Article_Rank_Score"
"SJT","-0.36571781092700173"
"SLC","2.2572354073100844"
"SFO","2.9387159692579705"
"MBS","-0.3252682886726032"
"ROC","-0.1082370816920298"
"RKS","-0.3682227094381583"
"ROW","-0.37646190976619304"
"RST","-0.3383085637310106"
"RAP","-0.32533254864505484"
"RDD","-0.36962440801294316"
"FSD","-0.28875832185653966"
"SEA","2.0454735539368425"
"GEG","-0.10235334165311645"
"SBN","-0.31157130627585095"
"SIT","-0.3417595270430096"
"SGU","-0.3583140231094657"
"SGF","-0.2871444130448983"
"SPI","-0.3700173090974952"
"UST","-0.3854649196493223"
"STC","-0.3855520639977686"
"STL","2.061295097169407"
"SUX","-0.3779673937250709"
"SHV","-0.2632630460620995"
"TLH","-0.3062826212458934"
"SYR","-0.16763719954995368"
"SUN","-0.36398428094079016"
"SCE","-0.3773165826719276"
"KSM","-0.3857309252110929"
"PIE","-0.38026961525118647"
"TPA","1.0286881370407635"
"TUS","0.007863760585251673"
"TTN","-0.3762110601417056"
"TVC","-0.3438206463170726"
"TOL","-0.3466592359937257"
"TXK","-0.3678804160146671"
"TEX","-0.3854032239427925"
"ACT","-0.36266215499138965"
"VIS","-0.3828818666156142"
"VEL","-0.38546582351419295"
"VCT","-0.3839826193045568"
"VPS","-0.3039271796005004"
"VLD","-0.37326146716321806"
"DUT","-0.3760614425157598"
"TYR","-0.354890319163355"
"TWF","-0.3689128056080367"
"DCA","1.3386869072289675"
"IAD","1.0416667496071017"
"PBI","0.11956181817899554"
"ALO","-0.38230488431118753"
"ART","-0.3845531172814879"
"ILM","-0.3261724627760099"
"ILG","-0.3849540373608308"
"ORH","-0.38239755251030066"
"ISN","-0.3755472550214183"
"SPS","-0.3693527607597587"
"HPN","-0.2314236072405498"
"WRG","-0.35771558949545035"
"YUM","-0.356764918033884"
"YAK","-0.35726915264234427"
"WYS","-0.38295978893079075"
"AVP","-0.3450724210192221"
"SBA","-0.25269446407052526"
