"Airport","Page_Rank_Score"
"SJT","-0.35694592103133393"
"SLC","3.290445260722386"
"SFO","3.1200505695966223"
"MBS","-0.31876388234558584"
"ROC","-0.14532346579376634"
"RKS","-0.3391508983238799"
"ROW","-0.36739558727289545"
"RST","-0.32697072005846944"
"RAP","-0.3100802953273753"
"RDD","-0.36107528171674613"
"FSD","-0.2775762464297135"
"SEA","2.4081368934267635"
"GEG","-0.1014056911325822"
"SBN","-0.3095299708664688"
"SIT","-0.23593946167762603"
"SGU","-0.34313946232969245"
"SGF","-0.28565143365759066"
"SPI","-0.36123492167416954"
"UST","-0.37018590347418406"
"STC","-0.3762027485085145"
"STL","1.5939489793203487"
"SUX","-0.3679746585204588"
"SHV","-0.25551574591192633"
"TLH","-0.3015506091518208"
"SYR","-0.19304760505279445"
"SUN","-0.349664024215517"
"SCE","-0.36925466625668574"
"KSM","-0.2797588673453961"
"PIE","-0.3725906612449032"
"TPA","0.7809198824657253"
"TUS","-0.02276789542367159"
"TTN","-0.2843442755350166"
"TVC","-0.32367848122657217"
"TOL","-0.34100795808792383"
"TXK","-0.359043402326386"
"TEX","-0.3761970086991654"
"ACT","-0.3539635186090342"
"VIS","-0.37332165611012375"
"VEL","-0.3759051758339099"
"VCT","-0.37479443587396305"
"VPS","-0.3009760982956677"
"VLD","-0.36391390726584094"
"DUT","-0.35132080152158707"
"TYR","-0.34654392559566227"
"TWF","-0.3555295977002572"
"DCA","1.0218750080698464"
"IAD","0.8544193322997796"
"PBI","0.03619085741482604"
"ALO","-0.3728906716251685"
"ART","-0.3752442905613938"
"ILM","-0.3254485230355973"
"ILG","-0.37578069899609456"
"ORH","-0.37365874525312587"
"ISN","-0.36543445483316506"
"SPS","-0.36039993047492425"
"HPN","-0.22869232159022662"
"WRG","-0.22805284380168592"
"YUM","-0.3415819639099589"
"YAK","-0.23847689324321714"
"WYS","-0.3728204269531179"
"AVP","-0.34110690006932537"
"SBA","-0.2553905885607269"
"SAV","-0.22566957117700343"
"SRQ","-0.27835689943011593"
"CIU","-0.3747854404914406"
"SAF","-0.3655350619480255"
"SMX","-0.36456845438265306"
"SNA","0.39526309011624966"
"SJC","0.5413610687502792"
"SBP","-0.3266166026476558"
"SJU","0.14613265559409314"
"DAL","0.4472169068775178"
"PVD","-0.04469037935383423"
"MEI","-0.28166196515032943"
"BMI","-0.3401921462939499"
"MDT","-0.24392110382173315"
"HRL","-0.29878027699350385"
"GUC","-0.3689330723057407"
"GPT","-0.3152757688179463"
"CMX","-0.3713541803766768"
"GST","-0.3746869227216975"
"GUM","-0.2748448083557973"
"GRR","-0.16468869382664264"
"GRB","-0.28141130098173284"
"GTF","-0.29433575136926493"
"GJT","-0.3261297200713623"
"GFK","-0.34808754561890953"
"GNV","-0.3406239311729202"
"GCC","-0.3443614842380791"
"FAT","-0.1554724206703932"
"FWA","-0.30450750223172657"
"FSM","-0.34886239386122064"
"GRI","-0.3733730567222958"
"FLL","0.8168360638494654"
"FAR","-0.2938680315730868"
"FAI","0.023256125824905095"
"EVV","-0.32834360495986553"
"XNA","-0.23972879601691258"
"FAY","-0.3370256186659696"
"FLG","-0.3630059070675133"
"DLH","-0.33669248262717993"
"EUG","-0.30322285561958895"
"ELM","-0.3262049319283515"
"ERI","-0.36097311016662315"
"ESC","-0.37506839543306003"
"EKO","-0.3563320364887686"
"ELP","0.010102670936849986"
"DTW","3.0312024375169813"
"DRO","-0.34997125373994736"
"EAU","-0.36990633149553115"
"IPL","-0.3703156809449066"
"EGE","-0.3480630562127749"
"DBQ","-0.3666181690373072"
"DHN","-0.35996254732874916"
"DVL","-0.27403521192144825"
"DIK","-0.3724270876774222"
"DLG","-0.3290259912427825"
"STX","-0.3576476154894131"
"CIC","-0.3657036034242444"
"CVG","1.072840071699972"
"CLE","0.6360485869160337"
"CHA","-0.31288265323308206"
"CYS","-0.3760611819807602"
"CHO","-0.3562473342364707"
"STT","-0.30369017429508155"
"COS","-0.14190645575813599"
"CLL","-0.3496310738308492"
"COD","-0.3632119382445926"
"FNT","-0.31741020410715354"
"FLO","-0.3730514271203657"
"CMH","0.20885084595356307"
"CSG","-0.3557243171080618"
"GTR","-0.36271189798948195"
"DAY","-0.15012387058772786"
"CDV","-0.2511955210934112"
"DEN","4.402645223657427"
"DSM","-0.1842317605583349"
