"Index","Origin","Destination","TotalCost","AirportCodes","Cost","Path"
"0","MKE","CDC","2.0","[""MKE"",""SLC"",""CDC""]","[0.0,1.0,2.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-5406,""type"":""PATH_0"",""start"":185,""end"":204,""properties"":{""cost"":1.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-5407,""type"":""PATH_0"",""start"":204,""end"":37,""properties"":{""cost"":1.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"1","MKE","CDC","2.0","[""MKE"",""SLC"",""CDC""]","[0.0,1.0,2.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-5408,""type"":""PATH_1"",""start"":185,""end"":204,""properties"":{""cost"":1.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-5409,""type"":""PATH_1"",""start"":204,""end"":37,""properties"":{""cost"":1.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"2","MKE","CDC","2.0","[""MKE"",""SLC"",""CDC""]","[0.0,1.0,2.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-5410,""type"":""PATH_2"",""start"":185,""end"":204,""properties"":{""cost"":1.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-5411,""type"":""PATH_2"",""start"":204,""end"":37,""properties"":{""cost"":1.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
